Product Title,Price ($),Stock,Category
Essence Mascara Lash Princess,9.99,99,beauty
Eyeshadow Palette with Mirror,19.99,34,beauty
Powder Canister,14.99,89,beauty
Red Lipstick,12.99,91,beauty
Red Nail Polish,8.99,79,beauty
Calvin Klein CK One,49.99,29,fragrances
Chanel Coco Noir Eau De,129.99,58,fragrances
Dior J'adore,89.99,98,fragrances
Dolce Shine Eau de,69.99,4,fragrances
Gucci Bloom Eau de,79.99,91,fragrances
Annibale Colombo Bed,1899.99,88,furniture
Annibale Colombo Sofa,2499.99,60,furniture
Bedside Table African Cherry,299.99,64,furniture
Knoll Saarinen Executive Conference Chair,499.99,26,furniture
Wooden Bathroom Sink With Mirror,799.99,7,furniture
Apple,1.99,8,groceries
Beef Steak,12.99,86,groceries
Cat Food,8.99,46,groceries
Chicken Meat,9.99,97,groceries
Cooking Oil,4.99,10,groceries
Cucumber,1.49,84,groceries
Dog Food,10.99,71,groceries
Eggs,2.99,9,groceries
Fish Steak,14.99,74,groceries
Green Bell Pepper,1.29,33,groceries
Green Chili Pepper,0.99,3,groceries
Honey Jar,6.99,34,groceries
Ice Cream,5.49,27,groceries
Juice,3.99,50,groceries
Kiwi,2.49,99,groceries
